abr.,area,a0,Wm,Sm,KC,Sr,Ks,C,b1,B_0m,CC,delta,N,k,G1,G2
xq11,349,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xq12,198,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xq13,167,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xq14,384,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xq10,234,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
dgw110,302,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
dgw100,213,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh222,295,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh220,112,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh221,97,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh211,360,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh210,113,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh200,171,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh120,113,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh100,117,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh000,169,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
ggz12,197,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
ggz13,94,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
ggz10,141,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
ggz11,192,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
jjs-xq,156,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
dgw-jjs,32,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
xh-dgw,160,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
btw-xh,198,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
mhh100,241,0.000894925,57.31293906,72.93298541,1.056689406,49.9190251,6.426669374,4,0.4,0.1,1.5,0.032227597,1.3,1.1,0.288448293,0.288448293
